time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1433.0625,284.4375,2357.4375,348.5625,1955.625,694.3125,1756.5,539.25,36.31,40.08
0.1,1433.0625,284.4375,2357.4375,348.5625,1955.625,694.125,1756.5,540.1875,36.24,40.31
0.2,1433.0625,284.4375,2357.4375,348.5625,1955.625,694.125,1756.6875,539.8125,36.23,40.25
0.3,1433.0625,284.4375,2357.4375,348.5625,1955.4375,694.125,1756.5,539.4375,36.24,40.31
0.4,1433.0625,284.4375,2357.4375,348.5625,1955.4375,694.125,1756.5,539.4375,36.24,40.32
0.5,1433.0625,284.4375,2357.4375,348.75,1955.4375,693.9375,1756.5,540.75,36.25,40.28
0.6,1433.0625,284.4375,2357.4375,348.75,1955.4375,694.125,1756.5,539.25,36.24,40.31
0.7,1432.875,284.4375,2357.4375,348.75,1955.4375,693.9375,1756.5,539.4375,36.25,40.37
0.8,1432.875,284.4375,2357.4375,348.75,1955.4375,694.125,1756.3125,539.4375,36.23,40.35
0.9,1432.875,284.4375,2357.625,348.75,1955.4375,693.9375,1756.5,537.5625,36.24,40.32
1.0,1432.875,284.4375,2357.4375,348.75,1955.25,694.125,1756.5,538.5,36.27,40.33
1.1,1432.875,284.4375,2357.4375,348.75,1955.4375,693.9375,1756.5,538.125,36.24,40.29
1.2,1432.875,284.4375,2357.625,348.5625,1955.25,693.9375,1756.3125,537.1875,36.25,40.37
1.3,1432.875,284.4375,2357.4375,348.75,1955.25,693.9375,1756.5,537,36.27,40.31
1.4,1432.875,284.4375,2357.4375,348.75,1955.25,693.9375,1756.3125,537.75,36.25,40.29
1.5,1432.875,284.4375,2357.625,348.75,1955.25,693.9375,1756.5,536.8125,36.25,40.37
1.6,1432.875,284.4375,2357.625,348.75,1955.25,693.75,1756.3125,537.1875,36.24,40.29
1.7,1433.0625,284.4375,2357.625,348.75,1955.0625,693.9375,1756.3125,536.8125,36.25,40.26
1.8,1432.875,284.4375,2357.625,348.75,1955.0625,693.9375,1756.5,536.0625,36.25,40.32
1.9,1432.875,284.4375,2357.625,348.75,1955.0625,693.9375,1756.5,537.1875,36.25,40.31
2.0,1432.875,284.4375,2357.625,348.75,1955.25,693.9375,1756.5,537.375,36.24,40.32
2.1,1433.0625,284.4375,2357.625,348.75,1955.0625,693.9375,1756.6875,536.625,36.27,40.33
2.2,1432.875,284.4375,2357.625,348.75,1955.0625,693.9375,1756.5,536.8125,36.27,40.34
2.3,1432.875,284.4375,2357.625,348.75,1955.0625,693.9375,1756.6875,537.375,36.25,40.31
2.4,1432.875,284.4375,2357.625,348.75,1955.0625,693.9375,1756.6875,537.375,36.25,40.34
2.5,1432.875,284.4375,2357.625,348.75,1955.0625,693.75,1756.3125,537.1875,36.27,40.31
2.6,1432.875,284.4375,2357.4375,348.75,1954.875,693.75,1756.5,537.375,36.27,40.33
2.7,1432.875,284.4375,2357.625,348.75,1954.875,693.75,1756.5,537.5625,36.25,40.31
2.8,1432.875,284.4375,2357.4375,348.75,1955.0625,693.75,1756.6875,537.375,36.28,40.33
2.9,1432.875,284.25,2357.4375,348.75,1955.0625,693.75,1756.6875,536.625,36.24,40.31
3.0,1432.875,284.4375,2357.4375,348.75,1954.875,693.9375,1756.875,536.25,36.24,40.29
3.1,1432.875,284.4375,2357.625,348.75,1955.0625,693.75,1757.0625,536.25,36.27,40.29
