time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1440,288.9375,2351.8125,342.75,1916.8125,465.1875,1771.5,540.75,36.14,38.55
0.1,1440.1875,288.9375,2351.8125,342.5625,1916.8125,465,1771.3125,540.375,35.83,39.16
0.2,1440.1875,288.9375,2351.8125,342.75,1916.8125,465,1771.5,540.375,35.86,39.12
0.3,1440.1875,289.125,2351.8125,342.5625,1917,465.1875,1771.5,539.4375,35.86,39.1
0.4,1440.1875,288.9375,2351.625,342.75,1917,465,1771.5,539.4375,35.84,39.13
0.5,1440,288.9375,2351.625,342.75,1917,465,1771.5,539.4375,35.84,39.09
0.6,1440.1875,288.9375,2351.625,342.75,1917.1875,465,1771.3125,539.4375,35.87,39.12
0.7,1440.1875,288.9375,2351.625,342.75,1917.1875,465,1771.5,539.4375,35.84,39.13
0.8,1440.1875,288.9375,2351.625,342.75,1917,464.8125,1771.3125,539.0625,35.86,39.12
0.9,1440,289.125,2351.625,342.5625,1917,465,1771.3125,539.4375,35.84,39.1
1.0,1440.1875,288.9375,2351.625,342.5625,1917,465,1771.3125,539.8125,35.86,39.15
1.1,1440.1875,288.9375,2351.625,342.75,1917.1875,465,1771.3125,540.1875,35.86,39.13
1.2,1440.1875,288.9375,2351.625,342.75,1917,465,1771.3125,539.0625,35.86,39.15
1.3,1440.1875,288.9375,2351.625,342.5625,1917.1875,465,1771.3125,539.4375,35.86,39.1
1.4,1440.1875,288.9375,2351.625,342.5625,1917.1875,465,1771.125,539.8125,35.89,39.09
1.5,1440,288.9375,2351.625,342.75,1917.1875,464.8125,1771.125,539.4375,35.86,39.12
1.6,1440,288.9375,2351.625,342.5625,1917,465,1771.3125,538.875,35.87,39.09
1.7,1440.1875,288.9375,2351.625,342.5625,1917.1875,465,1771.125,539.8125,35.87,39.12
1.8,1440,288.9375,2351.625,342.5625,1917.1875,465,1771.125,538.5,35.86,39.12
1.9,1440,289.125,2351.4375,342.5625,1917.1875,465,1771.125,539.25,35.86,39.09
2.0,1440.1875,288.9375,2351.625,342.5625,1917.1875,465,1771.125,539.25,35.86,39.06
2.1,1440,288.9375,2351.4375,342.5625,1917.1875,465,1771.125,538.875,35.86,39.1
2.2,1440,289.125,2351.4375,342.5625,1917.375,465,1771.3125,539.25,35.87,39.12
2.3,1440,288.9375,2351.625,342.5625,1917.1875,465,1771.125,538.5,35.87,39.09
2.4,1440,288.9375,2351.4375,342.5625,1917.375,464.8125,1771.125,539.25,35.86,39.1
2.5,1440,288.9375,2351.25,342.5625,1917.375,465,1770.9375,539.25,35.84,39.07
2.6,1439.8125,288.9375,2351.4375,342.5625,1917.375,464.8125,1770.9375,538.875,35.86,39.1
2.7,1440,289.125,2351.4375,342.5625,1917.375,464.8125,1770.9375,538.875,35.86,39.1
2.8,1440,288.9375,2351.4375,342.5625,1917.375,464.8125,1770.75,539.25,35.86,39.05
2.9,1440,288.9375,2351.4375,342.5625,1917.375,464.8125,1770.9375,538.875,35.86,39.12
3.0,1440,288.9375,2351.4375,342.5625,1917.375,464.8125,1770.9375,539.25,35.87,39.12
3.1,1440,289.125,2351.4375,342.5625,1917.375,464.8125,1770.75,539.4375,35.86,39.1
3.2,1440,289.125,2351.4375,342.75,1917.375,464.8125,1770.9375,539.25,35.87,39.06
3.3,1440,288.9375,2351.25,342.5625,1917.5625,464.8125,1770.75,538.5,35.87,39.08
3.4,1440,288.9375,2351.4375,342.75,1917.375,464.8125,1770.75,540,35.86,39.02
3.5,1440,289.125,2351.25,342.5625,1917.375,464.625,1770.75,539.625,35.87,39.09
3.6,1439.8125,288.9375,2351.4375,342.75,1917.375,464.8125,1770.75,539.8125,35.87,39.06
3.7,1440,288.9375,2351.25,342.5625,1917.5625,464.8125,1770.75,538.5,35.89,39.11
3.8,1440,288.9375,2351.25,342.5625,1917.5625,464.8125,1770.75,538.875,35.87,39.09
3.9,1440,288.9375,2351.0625,342.5625,1917.5625,464.8125,1770.75,538.3125,35.89,39.06
4.0,1440,288.9375,2351.25,342.75,1917.5625,464.8125,1770.9375,539.8125,35.86,39.02
4.1,1440,288.9375,2351.25,342.5625,1917.5625,464.8125,1770.75,539.625,35.89,39.08
4.2,1440,288.9375,2351.25,342.5625,1917.5625,464.625,1770.9375,539.4375,35.89,39.11
4.3,1440,288.9375,2351.0625,342.75,1917.5625,464.8125,1770.9375,540.1875,35.89,39.09
4.4,1440,289.125,2351.25,342.5625,1917.75,464.625,1770.75,538.3125,35.87,39.11
4.5,1440,288.9375,2351.25,342.75,1917.75,464.625,1770.9375,540,35.87,39.08
4.6,1440,288.9375,2351.25,342.75,1917.9375,464.625,1770.75,539.4375,35.87,39.06
4.7,1440,288.9375,2351.25,342.5625,1917.9375,464.625,1770.9375,538.3125,35.89,39.12
4.8,1440,288.9375,2351.25,342.75,1917.9375,464.8125,1771.3125,539.25,35.87,39.09
4.9,1440,289.125,2351.25,342.75,1918.125,464.8125,1771.125,538.3125,35.87,39.17
5.0,1440,288.9375,2351.25,342.75,1918.125,464.8125,1771.125,538.3125,35.89,39.11
5.1,1440,288.9375,2351.25,342.75,1918.125,464.625,1770.9375,538.6875,35.87,39.08
5.2,1440,288.9375,2351.4375,342.75,1918.125,464.625,1770.9375,538.875,35.87,39.12
