time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1266.375,305.4375,2342.25,324.375,1426.875,384,1727.8125,538.875,36.82,42.73
0.1,1266.375,305.4375,2342.25,324.375,1426.875,384.1875,1728,539.4375,36.76,43.04
0.2,1266.375,305.4375,2342.25,324.375,1426.875,384,1728,539.4375,36.75,43.04
0.3,1266.375,305.4375,2342.25,324.375,1426.875,384,1728,539.0625,36.76,42.97
0.4,1266.375,305.4375,2342.25,324.1875,1426.875,384,1728,539.0625,36.76,43
0.5,1266.375,305.4375,2342.25,324.375,1426.875,384,1728,538.6875,36.78,42.94
0.6,1266.375,305.4375,2342.25,324.375,1426.875,384,1728.1875,539.0625,36.78,42.96
0.7,1266.375,305.4375,2342.25,324.375,1426.875,384,1728.1875,539.8125,36.78,43.02
0.8,1266.1875,305.4375,2342.25,324.375,1426.875,384.1875,1728.1875,539.8125,36.78,43.04
0.9,1266.1875,305.4375,2342.25,324.375,1426.875,384,1728.375,538.6875,36.79,43.06
1.0,1266.375,305.4375,2342.25,324.375,1426.875,384,1728.375,539.0625,36.78,43.02
1.1,1266.1875,305.4375,2342.25,324.375,1426.875,384,1728.1875,539.8125,36.76,42.97
1.2,1266.1875,305.4375,2342.25,324.375,1426.875,384,1728.375,539.0625,36.79,43
1.3,1266.375,305.4375,2342.0625,324.375,1426.875,384,1728.1875,539.25,36.76,42.97
1.4,1266.1875,305.4375,2342.0625,324.1875,1426.6875,384,1728,539.8125,36.78,42.99
1.5,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.8125,1728,539.4375,36.8,43.03
1.6,1266.1875,305.4375,2342.25,324.1875,1426.5,383.8125,1728,539.4375,36.78,42.99
1.7,1266.1875,305.4375,2342.25,324.1875,1426.5,384,1727.8125,538.6875,36.76,43.03
1.8,1266.375,305.4375,2342.0625,324.1875,1426.5,383.8125,1727.8125,539.0625,36.78,43.04
1.9,1266.1875,305.4375,2342.25,324.1875,1426.5,383.8125,1728,538.6875,36.76,42.98
2.0,1266.375,305.4375,2342.25,324.1875,1426.3125,383.8125,1728,539.0625,36.79,42.97
2.1,1266.1875,305.4375,2342.25,324.375,1426.5,383.8125,1728,538.125,36.79,42.99
2.2,1266.375,305.4375,2342.0625,324.375,1426.5,383.8125,1728,538.3125,36.76,42.98
2.3,1266.1875,305.625,2342.25,324.375,1426.5,383.8125,1728,537.9375,36.78,42.97
2.4,1266.375,305.4375,2342.0625,324.375,1426.5,383.8125,1728.1875,536.625,36.78,43
2.5,1266.375,305.4375,2342.0625,324.375,1426.5,383.8125,1728.375,537,36.78,42.91
2.6,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.8125,1728.375,537.5625,36.78,42.96
2.7,1266.1875,305.4375,2342.25,324.1875,1426.3125,383.8125,1728.375,536.625,36.79,42.93
2.8,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.8125,1728.375,536.8125,36.8,42.97
2.9,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,537,36.78,42.94
3.0,1266.375,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,534.75,36.79,42.96
3.1,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,535.6875,36.78,42.97
3.2,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.1875,534.9375,36.78,42.93
3.3,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,535.5,36.79,42.94
3.4,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,534.375,36.79,42.9
3.5,1266.1875,305.4375,2341.875,324.1875,1426.5,383.4375,1728.1875,533.625,36.78,42.93
3.6,1266.1875,305.4375,2341.875,324.1875,1426.5,383.625,1728.375,534.375,36.78,42.96
3.7,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,534.1875,36.78,42.99
3.8,1266.1875,305.4375,2341.875,324.1875,1426.5,383.4375,1728.375,534.9375,36.8,42.93
3.9,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.625,1728.375,535.3125,36.8,43
4.0,1266.1875,305.4375,2341.875,324.1875,1426.5,383.625,1728.375,534.375,36.79,42.93
4.1,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.4375,1728.375,534.375,36.79,42.96
4.2,1266.1875,305.4375,2342.0625,324.1875,1426.5,383.4375,1728.375,534.1875,36.8,42.93
4.3,1266.1875,305.4375,2341.875,324.1875,1426.5,383.4375,1728.375,534.75,36.79,42.96
4.4,1266.1875,305.4375,2342.0625,324.1875,1426.3125,383.4375,1728.1875,534.9375,36.78,42.91
4.5,1266.1875,305.4375,2342.0625,324.1875,1426.3125,383.4375,1728.1875,534.9375,36.76,42.95
4.6,1266.1875,305.4375,2342.0625,324.1875,1426.3125,383.4375,1728.375,535.5,36.8,42.89
4.7,1266.1875,305.4375,2342.0625,324.1875,1426.3125,383.4375,1728.1875,535.125,36.82,42.9
4.8,1266.1875,305.4375,2341.875,324.1875,1426.3125,383.25,1728.1875,534.5625,36.76,42.91
4.9,1266,305.25,2341.875,324.1875,1426.125,383.25,1728.1875,534.375,36.8,42.99
5.0,1266.1875,305.4375,2341.875,324.1875,1426.125,383.25,1728.375,534.9375,36.78,42.88
5.1,1266.1875,305.4375,2341.875,324.1875,1426.125,383.25,1728,535.6875,36.78,42.93
5.2,1266.1875,305.4375,2341.875,324.1875,1426.125,383.25,1728,534.75,36.79,42.87
5.3,1266.1875,305.25,2341.6875,324.1875,1426.125,383.25,1728,535.6875,36.78,42.97
5.4,1266,305.4375,2341.875,324.1875,1426.125,383.25,1728,535.3125,36.78,42.91
5.5,1266.1875,305.4375,2341.875,324.1875,1426.125,383.0625,1728,534.9375,36.79,42.91
5.6,1266.1875,305.4375,2341.6875,324.1875,1426.125,383.25,1728,536.25,36.78,42.91
5.7,1266,305.4375,2341.875,324.1875,1425.9375,383.25,1728,535.875,36.78,42.85
5.8,1266,305.4375,2341.875,324.1875,1426.125,383.0625,1728,536.0625,36.8,42.9
5.9,1266,305.4375,2341.875,324.1875,1425.9375,383.25,1728.1875,535.875,36.75,42.92
6.0,1266,305.4375,2341.875,324.1875,1426.125,383.25,1728,536.4375,36.8,42.89
6.1,1265.8125,305.4375,2341.875,324.1875,1426.125,383.25,1728,536.4375,36.76,42.88
6.2,1266,305.4375,2341.875,324.1875,1425.9375,383.0625,1728,537,36.79,42.89
6.3,1266,305.4375,2341.6875,324.1875,1425.9375,383.0625,1727.8125,536.25,36.79,42.96
6.4,1266,305.4375,2341.875,324.1875,1425.9375,383.25,1728,536.4375,36.78,42.91
6.5,1266,305.4375,2341.6875,324.1875,1425.9375,383.0625,1728,537.1875,36.8,42.91
6.6,1266,305.4375,2341.875,324.1875,1425.9375,383.0625,1728.1875,536.25,36.79,42.85
6.7,1266,305.4375,2341.875,324.1875,1426.125,383.0625,1728.1875,536.625,36.78,42.87
6.8,1266,305.4375,2341.875,324.1875,1425.9375,383.0625,1727.8125,537,36.78,42.91
6.9,1266,305.4375,2341.875,324.1875,1425.9375,383.0625,1728,536.0625,36.79,42.89
7.0,1266,305.4375,2341.875,324.1875,1425.9375,382.875,1728.1875,537.75,36.79,42.96
7.1,1266,305.4375,2341.6875,324.1875,1425.9375,383.0625,1728,537.5625,36.79,42.9
7.2,1266,305.4375,2341.6875,324.1875,1425.9375,383.0625,1728,537,36.78,42.85
7.3,1266,305.4375,2341.6875,324.1875,1425.9375,383.0625,1728,537.75,36.8,42.9
7.4,1266,305.4375,2341.6875,324.1875,1425.9375,383.0625,1728.1875,536.8125,36.79,42.91
7.5,1266,305.25,2341.6875,324.1875,1425.9375,382.875,1728.1875,537.75,36.8,42.91
7.6,1265.8125,305.4375,2341.5,324,1425.75,382.875,1728,537.9375,36.78,42.9
7.7,1265.8125,305.4375,2341.5,324.1875,1425.9375,383.0625,1728,537.1875,36.78,42.87
7.8,1265.8125,305.4375,2341.5,324.1875,1425.9375,382.875,1728.1875,538.3125,36.8,42.89
7.9,1265.8125,305.25,2341.5,324,1425.9375,382.875,1728.1875,538.875,36.8,42.9
8.0,1265.8125,305.25,2341.6875,324.1875,1425.9375,383.0625,1728.375,538.6875,36.8,42.81
8.1,1265.8125,305.4375,2341.5,324.1875,1425.9375,382.875,1728.1875,538.3125,36.79,42.85
8.2,1265.8125,305.4375,2341.5,324.1875,1425.9375,382.875,1728.1875,538.875,36.79,42.9
8.3,1265.8125,305.25,2341.6875,324,1425.9375,382.875,1728,538.875,36.79,42.85
8.4,1265.8125,305.4375,2341.6875,324,1425.9375,382.875,1728,538.875,36.79,42.94
8.5,1265.8125,305.4375,2341.6875,324.1875,1425.9375,382.875,1728.1875,537.9375,36.8,42.89
8.6,1265.8125,305.4375,2341.5,324,1425.9375,382.875,1728.1875,537.9375,36.79,42.85
