time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,1468.6875,312,2473.6875,366.75,2000.625,525.75,1995,531.9375,39.14,46.73
0.1,1468.6875,312,2473.6875,366.75,2000.4375,525.75,1995,531.375,38.88,47.19
0.2,1468.6875,312,2473.6875,366.75,2000.4375,525.75,1995,531,38.86,47.18
0.3,1468.6875,312,2473.5,366.75,2000.4375,525.5625,1995,531.9375,38.86,47.15
0.4,1468.875,312,2473.6875,366.75,2000.25,525.5625,1995.1875,531.375,38.86,47.17
0.5,1468.875,312,2473.5,366.5625,2000.25,525.75,1995.375,531.5625,38.88,47.17
0.6,1468.6875,312,2473.5,366.5625,2000.25,525.5625,1995.375,532.5,38.88,47.12
0.7,1468.875,311.8125,2473.5,366.5625,2000.25,525.5625,1995.1875,531.375,38.86,47.13
0.8,1468.875,312,2473.5,366.5625,2000.0625,525.75,1995.5625,531.9375,38.86,47.11
0.9,1468.875,312,2473.5,366.375,2000.0625,525.5625,1995.75,531,38.88,47.12
1.0,1468.875,312,2473.5,366.375,2000.0625,525.5625,1995.5625,532.3125,38.88,47.12
1.1,1468.875,311.8125,2473.3125,366.375,2000.0625,525.5625,1995.5625,531.1875,38.89,47.12
1.2,1468.875,312,2473.5,366.375,1999.875,525.5625,1995.375,531,38.9,47.13
1.3,1468.875,312,2473.5,366.375,1999.875,525.5625,1995.5625,533.25,38.89,47.13
1.4,1468.875,312,2473.3125,366.375,2000.0625,525.5625,1995.75,531.5625,38.89,47.12
1.5,1468.6875,312,2473.3125,366.375,1999.875,525.5625,1995.75,532.6875,38.88,47.07
1.6,1468.6875,312,2473.3125,366.1875,1999.875,525.375,1995.5625,534.9375,38.88,47.08
1.7,1468.6875,312,2473.125,366.1875,1999.875,525.375,1995.75,532.6875,38.89,47.02
1.8,1468.6875,312,2473.3125,366.1875,1999.6875,525.375,1995.375,534,38.88,47.05
1.9,1468.6875,312,2473.125,366.1875,1999.6875,525.375,1995.75,536.625,38.89,47.05
2.0,1468.875,311.8125,2473.125,366.375,1999.6875,525.375,1995.9375,533.4375,38.89,46.99
2.1,1469.0625,312,2473.125,366.1875,1999.875,525.1875,1995.75,536.0625,38.89,46.98
2.2,1468.875,312,2472.9375,366.1875,1999.875,525.1875,1995.5625,537.1875,38.89,47.03
2.3,1468.875,312,2473.125,366.1875,1999.6875,525.1875,1995.75,534.75,38.89,47.03
2.4,1468.875,312,2473.125,366.1875,1999.6875,525.1875,1995.5625,537.375,38.88,47.02
2.5,1468.6875,312,2472.9375,366.1875,1999.6875,525,1995.5625,538.3125,38.9,47
