time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,914.0625,333,2195.625,301.3125,999.5625,378.375,1785.375,533.0625,40.36,49.57
0.1,913.875,333.1875,2195.4375,301.5,999.5625,378.1875,1785.1875,536.25,40.28,49.89
0.2,913.875,333,2195.4375,301.3125,999.75,378.1875,1784.625,532.875,40.28,49.93
0.3,913.875,333,2195.625,301.3125,999.9375,378,1784.25,534.9375,40.28,49.91
0.4,913.875,333.1875,2195.4375,301.5,999.9375,378,1784.0625,535.875,40.31,49.88
0.5,913.875,333.1875,2195.625,301.3125,1000.125,377.8125,1783.6875,535.3125,40.28,49.83
0.6,913.875,333.1875,2195.4375,301.3125,1000.125,377.8125,1783.3125,536.0625,40.31,49.85
0.7,913.875,333.1875,2195.4375,301.3125,1000.3125,377.8125,1782.9375,538.3125,40.31,49.86
0.8,913.875,333,2195.4375,301.5,1000.3125,377.4375,1782.375,536.25,40.31,49.85
0.9,913.875,333,2195.4375,301.5,1000.3125,377.4375,1782,537.1875,40.31,49.84
1.0,913.875,333,2195.4375,301.5,1000.3125,377.4375,1781.625,540.1875,40.3,49.88
1.1,913.875,333,2195.25,301.5,1000.5,377.25,1781.4375,537.75,40.33,49.83
1.2,913.875,333,2195.25,301.3125,1000.5,377.25,1781.0625,539.8125,40.3,49.85
1.3,913.875,333,2195.25,301.3125,1000.6875,377.0625,1780.6875,540.75,40.34,49.85
1.4,913.875,333,2195.25,301.3125,1000.875,377.0625,1780.3125,538.3125,40.33,49.81
1.5,913.875,333,2195.25,301.3125,1000.875,376.875,1779.9375,539.8125,40.3,49.85
1.6,913.875,333,2195.25,301.3125,1000.875,376.875,1779.5625,541.125,40.3,49.84
1.7,913.6875,333.1875,2195.25,301.3125,1001.0625,376.6875,1779.375,540.375,40.31,49.82
1.8,913.875,333,2195.25,301.3125,1001.0625,376.5,1778.8125,541.3125,40.31,49.85
1.9,913.6875,333.1875,2195.0625,301.3125,1001.0625,376.5,1778.625,542.4375,40.33,49.84
2.0,913.6875,333,2195.0625,301.3125,1001.25,376.3125,1778.0625,541.875,40.33,49.8
2.1,913.6875,333.1875,2195.0625,301.3125,1001.25,376.3125,1777.875,542.0625,40.33,49.79
2.2,913.6875,333,2195.25,301.3125,1001.4375,376.3125,1777.5,542.0625,40.34,49.83
2.3,913.875,333,2195.0625,301.3125,1001.4375,376.125,1777.125,542.4375,40.31,49.81
2.4,913.6875,333,2195.0625,301.3125,1001.625,376.125,1776.75,542.25,40.34,49.77
2.5,913.875,333,2195.0625,301.5,1001.625,376.125,1776.5625,541.5,40.33,49.81
