time(s),TGS 822,TGS 2612,TGS 2620,TGS 832,TGS 826 ,TGS 2603,TGS 2600,TGS 813,Temp,Humid
0.0,2021.625,349.875,2689.6875,504.1875,2640.75,750.375,2253,538.3125,38.51,48.23
0.1,2021.4375,349.6875,2689.875,504.375,2640.9375,750.375,2252.8125,537.375,38.41,48.2
0.2,2021.25,349.6875,2689.875,504.1875,2640.75,750.375,2252.8125,535.6875,38.41,48.15
0.3,2021.4375,349.6875,2689.875,504.1875,2640.9375,750.375,2253,537.5625,38.44,48.19
0.4,2021.4375,349.875,2689.875,504.1875,2640.9375,750.1875,2252.8125,536.625,38.44,48.18
0.5,2021.4375,349.875,2689.6875,504.375,2640.75,750.375,2252.8125,539.4375,38.42,48.15
0.6,2021.4375,349.875,2689.875,504.375,2640.9375,750.375,2253,538.5,38.42,48.18
0.7,2021.4375,349.875,2689.6875,504.1875,2640.75,750.1875,2252.625,537.375,38.42,48.16
0.8,2021.25,349.875,2689.6875,504.375,2640.75,750.1875,2252.8125,539.625,38.44,48.19
0.9,2021.4375,349.875,2689.875,504.1875,2640.75,750.375,2252.8125,539.0625,38.42,48.19
1.0,2021.4375,349.6875,2689.6875,504.1875,2640.75,750.1875,2252.8125,537.375,38.44,48.19
1.1,2021.4375,349.6875,2689.6875,504.1875,2640.5625,750.1875,2252.4375,539.8125,38.45,48.18
1.2,2021.4375,349.875,2689.6875,504.1875,2640.5625,750.1875,2252.4375,538.875,38.44,48.2
1.3,2021.25,349.875,2689.6875,504.1875,2640.5625,750.1875,2252.625,537.9375,38.44,48.18
1.4,2021.4375,349.875,2689.6875,504.1875,2640.5625,750.1875,2252.625,539.4375,38.45,48.19
1.5,2021.25,349.875,2689.6875,504.1875,2640.5625,750,2252.25,538.875,38.44,48.18
1.6,2021.25,349.875,2689.6875,504,2640.5625,750,2252.25,537.375,38.45,48.18
1.7,2021.4375,349.6875,2689.6875,504.1875,2640.375,750,2252.0625,540.375,38.45,48.22
1.8,2021.0625,349.6875,2689.6875,504.1875,2640.375,750,2252.0625,539.25,38.44,48.18
1.9,2021.0625,349.875,2689.6875,504.1875,2640.1875,750,2252.0625,538.3125,38.47,48.11
2.0,2021.25,349.875,2689.6875,504.1875,2640.1875,750,2252.0625,540.375,38.44,48.16
2.1,2021.0625,349.875,2689.5,504,2640.1875,750,2252.0625,539.625,38.45,48.15
2.2,2021.0625,349.6875,2689.5,503.8125,2640.1875,750,2252.0625,537.9375,38.45,48.22
2.3,2021.0625,349.875,2689.6875,504,2640.1875,750,2252.25,540.375,38.42,48.15
2.4,2021.0625,349.875,2689.5,504,2640.1875,749.8125,2251.875,539.625,38.41,48.15
2.5,2021.0625,349.6875,2689.5,504,2640.1875,749.8125,2251.875,537.5625,38.47,48.15
2.6,2021.0625,349.6875,2689.5,504,2640,749.625,2251.875,541.125,38.45,48.14
2.7,2020.875,349.6875,2689.6875,504,2640,749.8125,2251.875,539.625,38.45,48.21
2.8,2020.875,349.875,2689.5,504,2640,749.8125,2251.6875,539.25,38.44,48.12
2.9,2020.875,349.875,2689.5,504,2640,749.8125,2251.875,540.9375,38.45,48.15
3.0,2020.875,349.6875,2689.5,504,2640,749.625,2251.6875,540.5625,38.47,48.14
3.1,2020.875,349.6875,2689.3125,504,2639.8125,749.625,2251.5,539.8125,38.44,48.2
3.2,2020.6875,349.6875,2689.5,503.8125,2639.8125,749.625,2251.6875,541.3125,38.42,48.15
3.3,2020.6875,349.6875,2689.3125,504,2639.8125,749.625,2251.5,540.5625,38.44,48.15
3.4,2020.6875,349.6875,2689.5,504,2639.625,749.625,2251.125,539.4375,38.47,48.14
3.5,2020.5,349.6875,2689.3125,503.8125,2639.625,749.625,2251.3125,541.5,38.45,48.14
3.6,2020.6875,349.6875,2689.3125,504,2639.4375,749.4375,2251.125,540.375,38.47,48.15
3.7,2020.6875,349.6875,2689.3125,504,2639.625,749.4375,2251.125,542.4375,38.45,48.21
3.8,2020.5,349.875,2689.3125,504,2639.4375,749.625,2251.125,541.5,38.44,48.11
3.9,2020.6875,349.6875,2689.3125,504,2639.4375,749.4375,2251.125,540.1875,38.42,48.14
4.0,2020.6875,349.6875,2689.3125,504,2639.4375,749.625,2251.3125,542.25,38.45,48.1
4.1,2020.6875,349.6875,2689.3125,504,2639.4375,749.625,2251.125,541.6875,38.45,48.15
4.2,2020.6875,349.875,2689.3125,503.8125,2639.25,749.4375,2251.125,541.3125,38.42,48.15
4.3,2020.875,349.6875,2689.3125,504.1875,2639.25,749.4375,2251.3125,543.375,38.45,48.17
4.4,2020.875,349.6875,2689.125,504.1875,2639.25,749.4375,2251.3125,542.625,38.45,48.15
4.5,2020.6875,349.6875,2689.3125,504.1875,2639.25,749.4375,2251.125,540.75,38.45,48.12
4.6,2020.5,349.6875,2689.125,504.1875,2639.25,749.4375,2251.3125,543.9375,38.48,48.16
4.7,2020.6875,349.6875,2689.3125,504,2639.25,749.625,2251.5,542.4375,38.45,48.15
4.8,2020.6875,349.6875,2689.125,504,2639.25,749.625,2251.3125,541.125,38.45,48.14
4.9,2020.6875,349.6875,2689.125,504.1875,2639.25,749.625,2251.5,542.8125,38.47,48.14
5.0,2020.6875,349.6875,2689.125,504.1875,2639.25,749.625,2251.3125,542.8125,38.47,48.17
5.1,2020.6875,349.6875,2689.125,504,2639.25,749.625,2251.5,541.3125,38.45,48.11
5.2,2020.6875,349.6875,2689.125,504.1875,2639.25,749.625,2251.3125,543.5625,38.44,48.18
5.3,2020.6875,349.6875,2689.125,504,2639.25,749.625,2251.3125,543.75,38.44,48.14
5.4,2020.875,349.6875,2688.9375,504.1875,2639.25,749.625,2251.3125,542.0625,38.45,48.11
5.5,2020.6875,349.6875,2689.125,504.1875,2639.25,749.8125,2251.3125,543.75,38.45,48.12
5.6,2020.875,349.6875,2688.9375,504.1875,2639.25,749.625,2251.125,543.375,38.44,48.14
5.7,2020.6875,349.6875,2689.125,504.1875,2639.25,749.8125,2251.5,543.375,38.45,48.12
5.8,2020.6875,349.6875,2689.125,504.1875,2639.25,749.625,2251.5,543.375,38.45,48.17
