"MQ2","MQ4","MQ6","MQ9","MQ135","MQ136","MQ137","MQ138","Class"
"747.52","547.38666666667","709.46666666667","723.02666666667","836.47333333333","458.14","391.74666666667","649.84","Beef"
"719.52","397.72666666667","640.50666666667","619.17333333333","645.98666666667","451.55333333333","379.30666666667","582.82","Beef"
"582.93333333333","433.54666666667","690.38666666667","661.09333333333","712.81333333333","475.55333333333","383.83333333333","654.36","Beef"
"646.04","602.64666666667","718.67333333333","736.61333333333","840.82666666667","407.11333333333","362.69333333333","592.64","Beef"
"742.32","537.70666666667","699.70666666667","711.33333333333","832.06666666667","465.1","391.9","642.29333333333","Beef"
"746.78","542.57333333333","706.43333333333","719.16666666667","833.92666666667","464.97333333333","394.8","648.42","Beef"
"578.52","472.56666666667","638.80666666667","664","764.54","461.76666666667","393.18666666667","641.52666666667","Beef"
"624.72","473.2","640.54","674.88","783.53333333333","420.7","376.24","586.86666666667","Beef"
"809.38666666667","520.29333333333","691.08","694.84","759.85333333333","492.50666666667","404.95333333333","623.82666666667","Beef"
"576.34666666667","501.64666666667","667.62","703.71333333333","789.28666666667","462.15333333333","388.56666666667","587.40666666667","Beef"
"809.83333333333","470.56","653.87333333333","665.12","778.99333333333","428.18666666667","370.72666666667","615.83333333333","Beef"
"791.71333333333","463.1","620.08","695.32666666667","803.18","474.95333333333","396.86","609.05333333333","Beef"
"795.92","470.31333333333","631.74666666667","716.72666666667","789.28","464.68","393.02666666667","623.35333333333","Beef"
"723.52","403.84666666667","640.84","632.3","664.43333333333","450.60666666667","378.7","591.49333333333","Beef"
"644.81333333333","601.64666666667","721.02","734.47333333333","839.69333333333","410.08","363.48","591.91333333333","Beef"
"591.32","514.84666666667","674.19333333333","710.98666666667","809.1","455.18666666667","385.44666666667","600.74666666667","Beef"
"809.24666666667","482.95333333333","658.87333333333","663.6","798.70666666667","425.73333333333","371.40666666667","623.25333333333","Beef"
"808.39333333333","487.10666666667","659.30666666667","672.26","806.69333333333","420.59333333333","368.16666666667","625.65333333333","Beef"
"611.26666666667","483.58666666667","647.36","680.26","787.78666666667","448.66666666667","391.92666666667","653.76666666667","Beef"
"773.18791946309","579.69798657718","734.69127516779","748.3355704698","849","467.73154362416","397","670.12751677852","Beef"
"723.62","404.78","640.84666666667","637.31333333333","668.02666666667","443.12666666667","375.15333333333","593.03333333333","Beef"
"639.04666666667","480.59333333333","711.90666666667","711.77333333333","771.90666666667","458.06","375.02666666667","675.11333333333","Beef"
"617.00666666667","488.60666666667","645.13333333333","685.75333333333","793.55333333333","439.8","381.74","658.76","Beef"
"639.38666666667","481.86","718.18","712.52","786.74","444.15333333333","371.02666666667","675.26","Beef"
"717.42","407.32","640.09333333333","643.14","671.52","441.18","373.46666666667","591.8","Beef"
"618.01333333333","492.64","646.90666666667","688.35333333333","796.18666666667","435.92","379.56666666667","662.55333333333","Beef"
"795.06666666667","476.68666666667","635.58666666667","720.12","798.20666666667","459.87333333333","390.04","624.51333333333","Beef"
"795.54","487.04666666667","636.16","706.52","814.12","470.12666666667","392.29333333333","624.72","Beef"
"641.64666666667","485.42","717.82","712.96666666667","783.28","450.7","373","676.97333333333","Beef"
"615.58","465.04","697.23333333333","707.54","759.04666666667","458.28","372.48666666667","666.76","Beef"
"795.82666666667","499.56","639.00666666667","714.00666666667","818.82","476.16","400.46","632.39333333333","Beef"
"713.88","411.12666666667","639.8","649.55333333333","675.82666666667","440.91333333333","374.04","592.50666666667","Beef"
"484.1","474.90666666667","612.7","619.20666666667","710.38","582.89333333333","460.68","612.56666666667","Beef"
"518.10666666667","505.24","632.51333333333","647.66666666667","736.12","567.56666666667","454.98666666667","639.27333333333","Beef"
"561.31333333333","548.15333333333","662.6","679.08666666667","760.86","578.54666666667","462.45333333333","665.23333333333","Beef"
"524.75333333333","518.92","646.60666666667","656.2","748.75333333333","532.12666666667","435.12666666667","639.22666666667","Beef"
"308.68666666667","359.26","475.92","607.85333333333","737.58666666667","480.69333333333","396.42666666667","556.24","Beef"
"308.97333333333","338.23333333333","469.98","594.8","733.14","485.12","401.11333333333","539.50666666667","Beef"
"386.21333333333","378.99333333333","578.48666666667","672.33333333333","704.79333333333","468","530.1","582.59333333333","Beef"
"384.78","367.92666666667","578.40666666667","670.14","680.83333333333","482.59333333333","523.66666666667","575.39333333333","Beef"
"357.36","338.44666666667","572.22666666667","630.81333333333","595.9","530.68666666667","506.39333333333","543.34666666667","Beef"
"293.25333333333","368.63333333333","471.86666666667","631.14666666667","762.4","412.59333333333","367.01333333333","577.43333333333","Beef"
"298.31333333333","380.13333333333","475.49333333333","636.38","762.38666666667","409.29333333333","364.24666666667","587.66","Beef"
"302.84","387.47333333333","483.52666666667","642.92666666667","767.03333333333","409.32666666667","366.51333333333","596.21333333333","Beef"
"296.45333333333","385.81333333333","468.96666666667","619.70666666667","736.56666666667","393.12666666667","358.48666666667","578.21333333333","Beef"
"300.24","395.1","473.22666666667","620.53333333333","736.96","389.14","356.15333333333","580.42666666667","Beef"
"313.72","409.08","492.72","644.84666666667","760.8","396.22","362.2","600.69333333333","Beef"
"317.01333333333","414.55333333333","489.50666666667","640.21333333333","746.34666666667","386.57333333333","354.28","594.15333333333","Beef"
"329.30666666667","429","504.54666666667","654.29333333333","762.19333333333","389.46","358.82","607.67333333333","Beef"
"272.53333333333","337.66","455.21333333333","608.56","742.94666666667","417.25333333333","369.08666666667","545.56","Beef"
"347.63333333333","437.22666666667","514.43333333333","664.91333333333","758.87333333333","458.87333333333","405.76666666667","619.52","Beef"
"340.44","427.35333333333","512.82666666667","668.49333333333","763.70666666667","466.34666666667","394.24","617.28","Beef"
"335.90666666667","422.75333333333","509.74","666.22","761.88","442.30666666667","365.42","608.98","Beef"
"313.36666666667","390.26666666667","485.4","639.12666666667","735.70666666667","436.88","385.40666666667","579.78666666667","Beef"
"298.54666666667","367.85333333333","479.21333333333","626.31333333333","726.56666666667","426.02666666667","374.93333333333","562.16666666667","Beef"
"298.01333333333","445.6","516.22666666667","665.9","743.76","430.09333333333","380.95333333333","606.60666666667","Beef"
"304.42666666667","419.95333333333","513.60666666667","668.07333333333","752.06","447.36","387.34666666667","602.8","Beef"
"308.49333333333","394.73333333333","511.92666666667","666.86","754.77333333333","455.96666666667","391.38666666667","593.96","Beef"
"309.80666666667","330.82666666667","467.73333333333","592.89333333333","733.79333333333","486.33333333333","403.24","533.34","Beef"
"349.77333333333","440.15333333333","520.82","677.73333333333","761.85333333333","457.64","391.31333333333","620.54666666667","Beef"
"329.44666666667","412.53333333333","525.69333333333","707.96666666667","825.84","460.10666666667","395.79333333333","617.89333333333","Pork"
"320.36666666667","356.20666666667","486.68666666667","627.06","782.26","427.66","373.95333333333","564.53333333333","Pork"
"283.25333333333","336.44","474.87333333333","604.15333333333","760.98666666667","536.67333333333","429.96666666667","547.29333333333","Pork"
"292.65333333333","352.38","479.78","614.73333333333","764.20666666667","535.85333333333","430.37333333333","567.32","Pork"
"626.17333333333","562.28","716.58666666667","723.68","841.93333333333","444.17333333333","380.75333333333","596.71333333333","Pork"
"782.88","505.89333333333","685.98","727.24","822.74666666667","444.40666666667","379.16666666667","640.54666666667","Pork"
"629.54","617.90666666667","702.94","727.52","822.46","421.52666666667","373.2","574.91333333333","Pork"
"828.94","640.92666666667","706.32","734.49333333333","820.50666666667","430.58666666667","378.64","654.52","Pork"
"642.6","652.48666666667","722.51333333333","736.38666666667","833.43333333333","432.14666666667","369.54","579.28666666667","Pork"
"828.8","662.04","701.61333333333","737.06666666667","826.6","421.18","372.40666666667","658.18","Pork"
"336.22","390.96666666667","539.26","664.2","800.21333333333","447.33333333333","389.54666666667","609.07333333333","Pork"
"354.08666666667","427.56","552.52","700.72666666667","801.68","425.08666666667","371.87333333333","641.43333333333","Pork"
"324.24","385.68","540.44","656.37333333333","789.08666666667","396.26","363.8","589.64666666667","Pork"
